date,region,category,revenue
2025-01-01,South,Accessories,276.35
2025-01-02,South,Office Supplies,591.87
2025-01-03,South,Furniture,1260.18
2025-01-04,East,Office Supplies,382.05
2025-01-06,West,Office Supplies,202.83
2025-01-06,South,Furniture,1178.29
2025-01-07,East,Electronics,1143.16
2025-01-07,East,Electronics,3053.78
2025-01-08,South,Furniture,1699.3
2025-01-09,South,Office Supplies,513.57
2025-01-13,North,Office Supplies,506.17
2025-01-15,East,Furniture,1003.34
2025-01-19,East,Electronics,3607.59
2025-01-20,East,Furniture,1638.69
2025-01-21,North,Electronics,3543.74
2025-01-22,North,Accessories,125.43
2025-01-25,North,Furniture,1861.42
2025-01-26,North,Accessories,528.98
2025-01-26,East,Accessories,314.19
2025-01-28,South,Electronics,2206.47
2025-02-04,East,Furniture,590.39
2025-02-05,West,Electronics,3596.39
2025-02-07,East,Furniture,1545.33
2025-02-08,East,Accessories,818.26
2025-02-13,West,Furniture,803.27
2025-02-13,East,Furniture,2194.92
2025-02-14,South,Accessories,102.6
2025-02-16,North,Electronics,4237.66
2025-02-16,South,Office Supplies,340.22
2025-02-18,East,Office Supplies,111.35
2025-02-19,North,Electronics,3508.06
2025-02-20,West,Office Supplies,584.09
2025-02-20,West,Furniture,2064.94
2025-02-24,East,Furniture,1264.6
2025-02-25,South,Electronics,3016.09
2025-02-26,West,Electronics,2223.64
2025-02-27,East,Furniture,410.06
2025-02-27,North,Furniture,543.94
2025-02-28,North,Furniture,1492.15
2025-02-28,North,Electronics,3322.33
2025-03-01,North,Electronics,1647.08
2025-03-02,East,Electronics,2702.38
2025-03-03,West,Electronics,987.18
2025-03-06,West,Electronics,4445.64
2025-03-07,West,Furniture,1101.58
2025-03-09,West,Furniture,1324.54
2025-03-09,West,Furniture,1961.52
2025-03-09,West,Office Supplies,282.65
2025-03-11,North,Furniture,1418.04
2025-03-15,North,Furniture,726.92
2025-03-15,North,Electronics,1024.27
2025-03-16,South,Accessories,821.95
2025-03-18,North,Electronics,4227.56
2025-03-22,East,Accessories,819.69
2025-03-22,West,Office Supplies,282.97
2025-03-24,West,Furniture,1790.78
2025-03-24,East,Electronics,1720.03
2025-03-25,South,Office Supplies,269.45
2025-03-26,West,Furniture,479.22
2025-03-28,South,Furniture,1072.19
2025-04-02,North,Accessories,502.28
2025-04-03,South,Electronics,3001.63
2025-04-03,South,Office Supplies,206.74
2025-04-05,East,Accessories,352.94
2025-04-05,East,Electronics,4091.94
2025-04-07,North,Electronics,3567.51
2025-04-07,East,Furniture,1606.24
